Year,Age,Gender,Race,Education Attainment,Employment Status,Units,Value
2010,,,,,,Percent,14.3
2010,Under 18 years,,,,,Percent,6.1
2010,18 to 64 years,,,,,Percent,17.7
2010,65 years and over,,,,,Percent,1.3
2010,,,,,,Percent,14.3
2010,,Male,,,,Percent,13.7
2010,,Female,,,,Percent,15
2010,,,,,,Percent,14.3
2010,,,White,,,Percent,15.3
2010,,,Black or African American,,,Percent,12.6
2010,,,American Indian and Alaska Native,,,Percent,9.3
2010,,,Asian,,,Percent,9.7
2010,,,Hispanic or Latino origin (any race),,,Percent,17.7
2010,,,,,,Percent,3.6
2010,,,,Less than High School,,Percent,9.2
2010,,,,High School Graduate,,Percent,3.7
2010,,,,Some College or Associate degree,,Percent,4.8
2010,,,,Bachelor's Degree or Higher,,Percent,2.7
2010,,,,,,Percent,17.4
2010,,,,,Employed (full-time),Percent,0.5
2010,,,,,Worked less than full time,Percent,23.5
2010,,,,,Unemployed,Percent,31.1
2011,,,,,,Percent,15
2011,Under 18 years,,,,,Percent,5.2
2011,18 to 64 years,,,,,Percent,18.7
2011,65 years and over,,,,,Percent,1.3
2011,,,,,,Percent,15
2011,,Male,,,,Percent,14.8
2011,,Female,,,,Percent,15.3
2011,,,,,,Percent,15
2011,,,White,,,Percent,16.3
2011,,,Black or African American,,,Percent,13.2
2011,,,American Indian and Alaska Native,,,Percent,7.6
2011,,,Asian,,,Percent,6.5
2011,,,Hispanic or Latino origin (any race),,,Percent,22.2
2011,,,,,,Percent,3.9
2011,,,,Less than High School,,Percent,10.5
2011,,,,High School Graduate,,Percent,2.4
2011,,,,Some College or Associate degree,,Percent,5.8
2011,,,,Bachelor's Degree or Higher,,Percent,3.1
2011,,,,,,Percent,18.3
2011,,,,,Employed (full-time),Percent,0.5
2011,,,,,Worked less than full time,Percent,24.4
2011,,,,,Unemployed,Percent,33.9
2012,,,,,,Percent,15.2
2012,Under 18 years,,,,,Percent,4
2012,18 to 64 years,,,,,Percent,19.3
2012,65 years and over,,,,,Percent,1.1
2012,,,,,,Percent,15.2
2012,,Male,,,,Percent,14.6
2012,,Female,,,,Percent,15.8
2012,,,,,,Percent,15.2
2012,,,White,,,Percent,16.3
2012,,,Black or African American,,,Percent,14.1
2012,,,American Indian and Alaska Native,,,Percent,22.9
2012,,,Asian,,,Percent,7.6
2012,,,Hispanic or Latino origin (any race),,,Percent,22
2012,,,,,,Percent,3.4
2012,,,,Less than High School,,Percent,11.7
2012,,,,High School Graduate,,Percent,2
2012,,,,Some College or Associate degree,,Percent,1.8
2012,,,,Bachelor's Degree or Higher,,Percent,2.6
2012,,,,,,Percent,18.8
2012,,,,,Employed (full-time),Percent,0.4
2012,,,,,Worked less than full time,Percent,24.7
2012,,,,,Unemployed,Percent,35.9
2013,,,,,,Percent,16.6
2013,Under 18 years,,,,,Percent,6.3
2013,18 to 64 years,,,,,Percent,20.7
2013,65 years and over,,,,,Percent,1
2013,,,,,,Percent,16.6
2013,,Male,,,,Percent,16.1
2013,,Female,,,,Percent,17
2013,,,,,,Percent,16.6
2013,,,White,,,Percent,17.6
2013,,,Black or African American,,,Percent,16.1
2013,,,American Indian and Alaska Native,,,Percent,33.6
2013,,,Asian,,,Percent,10.5
2013,,,Hispanic or Latino origin (any race),,,Percent,16.3
2013,,,,,,Percent,3.8
2013,,,,Less than High School,,Percent,8.6
2013,,,,High School Graduate,,Percent,3.1
2013,,,,Some College or Associate degree,,Percent,5.7
2013,,,,Bachelor's Degree or Higher,,Percent,2.8
2013,,,,,,Percent,20.1
2013,,,,,Employed (full-time),Percent,0.4
2013,,,,,Worked less than full time,Percent,25.5
2013,,,,,Unemployed,Percent,39.9
2014,,,,,,Percent,19
2014,Under 18 years,,,,,Percent,9.4
2014,18 to 64 years,,,,,Percent,23
2014,65 years and over,,,,,Percent,1.2
2014,,,,,,Percent,19
2014,,Male,,,,Percent,19
2014,,Female,,,,Percent,18.9
2014,,,,,,Percent,19
2014,,,White,,,Percent,19.8
2014,,,Black or African American,,,Percent,20.3
2014,,,American Indian and Alaska Native,,,Percent,80.2
2014,,,Asian,,,Percent,10.1
2014,,,Hispanic or Latino origin (any race),,,Percent,15.8
2014,,,,,,Percent,4.6
2014,,,,Less than High School,,Percent,13
2014,,,,High School Graduate,,Percent,5.1
2014,,,,Some College or Associate degree,,Percent,6.2
